Scraped At,Top Section,Subcategory,Product Name,Brand (heuristic/listing),Price,Original Price,Discount,Rating (listing),Rating (detail),Reviews Count (listing),Reviews Count (detail),Target Audience,Availability,Seller,Product URL,Image URL (listing),Image URLs (detail),Short Description,Full Description,Breadcrumb,Page
2026-06-01 12:24:19,Men's Clothing,(All),KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers,KUNDAN,Rs. 574,"Rs. 1,299",56% Off,(8),4.6,8,0,Unspecified,In Stock,,https://www.snapdeal.com/product/kundan-suz-gwalior-multi-cotton/638927173295,,"https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-1-7b405.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-2-ff18f.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-3-08dc8.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-4-72a21.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-5-21654.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-6-4eddd.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-7-71629.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-8-91bdb.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL154140389-9-a256e.jpg",,"KUNDAN SULZ GWALIOR
Fabric:Cotton Blend
Color:Multi
Type:Unstitched Shirts & Trousers
Wear:Formals
Packs:Pack of 2
Product Width (cm):18
Wash Care:Normal Wash
Size (m):1.2
Product length (cm):23
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL154140389",,1
2026-06-01 12:24:23,Men's Clothing,(All),Gwalior Beige Polyester Blend Men's Unstitched Pant Piece ( Pack of 1 ),Gwalior,Rs. 316,Rs. 899,65% Off,(1),4.0,1,0,Male,In Stock,,https://www.snapdeal.com/product/gwalior-beige-polyester-blend-mens/678414247196,,https://g.sdlcdn.com/imgs/l/f/6/Gwalior-Beige-Polyester-Blend-Men-SDL635508972-1-d1d90.jpg,,"Gwalior
Fabric:Polyester Blend
Color:Beige
Type:Unstitched Pant Piece
Product Width (cm):145
Size (m):1.25
Product length (cm):125
Pattern:Solid
Season:Summer,Winter,Autumn,Spring
Pack:Pack of 1
Pattern or Print Type:Solid
Shop By Occasion:Party,Work,Travel,Casual
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL635508972",,1
2026-06-01 12:24:27,Men's Clothing,(All),JOHN STELLAR - White Linen Men's Unstitched Kurta ( Pack of 1 ),JOHN,Rs. 667,"Rs. 1,499",56% Off,(22),4.4,22,0,Male,In Stock,,https://www.snapdeal.com/product/john-stellar-white-linen-mens/667530327705,,"https://g.sdlcdn.com/imgs/k/q/z/JOHN-STELLAR-White-Linen-Men-SDL613967439-1-58778.jpg, https://g.sdlcdn.com/imgs/k/q/z/JOHN-STELLAR-White-Linen-Men-SDL613967439-2-b87b0.jpg, https://g.sdlcdn.com/imgs/k/q/z/JOHN-STELLAR-White-Linen-Men-SDL613967439-3-dd1b2.jpg, https://g.sdlcdn.com/imgs/k/q/z/JOHN-STELLAR-White-Linen-Men-SDL613967439-4-58720.jpg",,"JOHN STELLAR
Fabric:Linen
Color:White
Type:Unstitched Kurta
Product Width (cm):145
Wash Care:Hand Wash,Machine Wash
Size (m):2
Product length (cm):200
Pattern:Self Design
Season:Summer,Autumn,Spring
Pack:Pack of 1
Pattern or Print Type:Textured
Shop By Occasion:Casual,Work,Festive
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL613967439",,1
2026-06-01 12:24:30,Men's Clothing,(All),brand life White Cotton Blend Men's Unstitched Shirts & Trousers ( Pack of 1 ),brand,Rs. 635,Rs. 799,21% Off,,0.0,0,0,Male,In Stock,,https://www.snapdeal.com/product/brand-life-white-cotton-blend/634332986973,,"https://g.sdlcdn.com/imgs/l/k/c/brand-life-White-Cotton-Blend-SDL120791134-1-65610.jpg, https://g.sdlcdn.com/imgs/l/k/c/brand-life-White-Cotton-Blend-SDL120791134-2-898f6.jpg",,"brand life
Fabric:Cotton Blend
Color:White
Type:Unstitched Shirts & Trousers
Product Width (cm):25
Size (m):3.45
Product length (cm):1
Pattern:Printed
Season:Summer
Pack:Pack of 1
Pattern or Print Type:Abstract
Shop By Occasion:Casual
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL120791134",,1
2026-06-01 12:24:34,Men's Clothing,(All),Fabkart Navy Blue Polyester Men's Unstitched Pant Piece ( Pack of 1 ),Fabkart,Rs. 298,Rs. 999,70% Off,(12),4.7,12,0,Male,In Stock,,https://www.snapdeal.com/product/fabkart-navy-blue-polyester-blend/686117814972,,https://g.sdlcdn.com/imgs/k/3/v/Fabkart-Navy-Blue-Polyester-Blend-SDL640168768-1-0325e.jpg,,"Fabkart
Fabric:Polyester
Color:Navy Blue
Type:Unstitched Pant Piece
Product Width (cm):148
Size (m):1.25
Product length (cm):125
Pattern:Solid
Season:Summer,Autumn,Spring,Winter
Pack:Pack of 1
Pattern or Print Type:Solid
Shop By Occasion:Party,Work,Festive,Travel
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL640168768",,1
2026-06-01 12:24:37,Men's Clothing,(All),KUNDAN SULZ GWALIOR Pink Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),KUNDAN,Rs. 327,Rs. 799,59% Off,(51),4.2,51,0,Male,In Stock,,https://www.snapdeal.com/product/kundan-sulz-gwalior-pink-cotton/674905950226,,"https://g.sdlcdn.com/imgs/i/2/b/KUNDAN-SULZ-GWALIOR-Pink-Cotton-SDL761071213-1-03bb0.jpg, https://g.sdlcdn.com/imgs/i/2/b/KUNDAN-SULZ-GWALIOR-Pink-Cotton-SDL761071213-2-d43e0.jpg, https://g.sdlcdn.com/imgs/i/2/b/KUNDAN-SULZ-GWALIOR-Pink-Cotton-SDL761071213-3-f644e.jpg, https://g.sdlcdn.com/imgs/i/2/b/KUNDAN-SULZ-GWALIOR-Pink-Cotton-SDL761071213-4-37b7f.jpg, https://g.sdlcdn.com/imgs/i/2/b/KUNDAN-SULZ-GWALIOR-Pink-Cotton-SDL761071213-5-0a38c.jpg",,"KUNDAN SULZ GWALIOR
Fabric:Cotton Blend
Color:Pink
Type:Unstitched Shirt Piece
Product Width (cm):90
Size (m):2.25
Product length (cm):225
Gifting Option:Without Gift Box
Pattern:Solid
Season:Summer,Winter
Pack:Pack of 1
Pattern or Print Type:Solid
Shop By Occasion:Casual,Party
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL761071213",,1
2026-06-01 12:24:39,Men's Clothing,(All),Kundan Beige Poly Viscose Unstitched Pant Piece,Kundan,Rs. 712,"Rs. 3,099",77% Off,(6),4.0,6,0,Unspecified,In Stock,,https://www.snapdeal.com/product/kundan-beige-poly-viscose-unstitched/649635293900,,https://g.sdlcdn.com/imgs/b/e/s/Kundan-Beige-Poly-Viscose-Unstitched-SDL008594567-1-85f17.jpg,,"Mandarin collar
Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings
Product code : TDF-WKT-181-Black
Recommended wear : Partywear
Fabric : Wool
Brand : The Design Factory
Button closure
Product type : Waistcoat
Sleeveless
Colour : Black
Design : Solids
SUPC: SDL008594567",,1
2026-06-01 12:24:42,Men's Clothing,(All),Gwalior Multicolour Poly Viscose Unstitched Pant Piece Pack Of 3,Gwalior,Rs. 581,"Rs. 1,499",61% Off,(234),3.7,234,0,Unspecified,In Stock,,https://www.snapdeal.com/product/gwalior-multicolour-poly-viscose-unstitched/665008145138,,"https://g.sdlcdn.com/imgs/a/7/e/Gwalior-Multicolour-Poly-Viscose-Unstitched-SDL446954034-1-04f1d.jpg, https://g.sdlcdn.com/imgs/a/7/e/Gwalior-Multicolour-Poly-Viscose-Unstitched-SDL446954034-2-647fb.jpg",,"Type : Unstitched Pant Pc
Disclaimer : Product color may slightly vary due to photographic lighting sources or your monitor settings.
Fabric : Poly Viscose
SUPC: SDL446954034",,1
2026-06-01 12:24:46,Men's Clothing,(All),BRANDLIFE Green Cotton Blend Men's Unstitched Shirts & Trousers ( Pack of 1 ),BRANDLIFE,Rs. 635,"Rs. 2,999",79% Off,,0.0,0,0,Male,In Stock,,https://www.snapdeal.com/product/brandlife-green-cotton-blend-mens/682930307063,,"https://g.sdlcdn.com/imgs/l/k/o/BRANDLIFE-Green-Cotton-Blend-Men-SDL296184202-1-fafbe.jpeg, https://g.sdlcdn.com/imgs/l/k/o/BRANDLIFE-Green-Cotton-Blend-Men-SDL296184202-2-29f07.jpg",,"BRANDLIFE
Fabric:Cotton Blend
Color:Green
Type:Unstitched Shirts & Trousers
Product Width (cm):36
Wash Care:Hand Wash
Size (m):1.2
Product length (cm):58
Pattern:Printed
Season:Summer
Style Code:1142
Pack:Pack of 1
Pattern or Print Type:Floral
Secondary Color:White
Shop By Occasion:Casual
Combo Product Colors:Green
Weave Type:Woven
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL296184202",,1
2026-06-01 12:24:51,Men's Clothing,(All),brand life Multicolor Cotton Blend Men's Unstitched Shirts & Trousers ( Pack of 1 ),brand,Rs. 635,Rs. 999,36% Off,(1),5.0,1,0,Male,In Stock,,https://www.snapdeal.com/product/brand-life-multicolor-cotton-blend/652510860686,,"https://g.sdlcdn.com/imgs/l/k/c/brand-life-Multicolor-Cotton-Blend-SDL936562764-1-3267b.jpg, https://g.sdlcdn.com/imgs/l/k/c/brand-life-Multicolor-Cotton-Blend-SDL936562764-2-d0176.jpg",,"brand life
Fabric:Cotton Blend
Color:Multicolor
Type:Unstitched Shirts & Trousers
Product Width (cm):25
Size (m):3.45
Product length (cm):1
Pattern:Printed
Season:Summer
Pack:Pack of 1
Pattern or Print Type:Abstract
Shop By Occasion:Casual
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL936562764",,1
2026-06-01 12:24:55,Men's Clothing,(All),Maharaja - Multi Cotton Blend Men's Unstitched Shirts & Trousers ( Pack of 1 ),Maharaja,Rs. 611,"Rs. 2,000",69% Off,(72),3.7,72,0,Male,In Stock,,https://www.snapdeal.com/product/m-maharaja-multi-poly-blend/678935274412,,"https://g.sdlcdn.com/imgs/k/j/y/Maharaja-Multi-Cotton-Blend-Men-SDL240141484-1-64bd2.jpg, https://g.sdlcdn.com/imgs/k/j/y/Maharaja-Multi-Cotton-Blend-Men-SDL240141484-2-2668f.jpg",,"Maharaja
Fabric:Cotton Blend
Color:Multi
Type:Unstitched Shirts & Trousers
Product Width (cm):30
Size (m):3.45
Product length (cm):40
Pattern:Checks
Pack:Pack of 1
Pattern or Print Type:Small Checks
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL240141484",,1
2026-06-01 12:24:59,Men's Clothing,(All),Makhanchor Black Cotton Men's Unstitched Shirt Piece ( Pack of 1 ),Makhanchor,Rs. 352,Rs. 999,65% Off,(2),4.5,2,0,Male,In Stock,,https://www.snapdeal.com/product/makhanchor-black-cotton-mens-unstitched/641118369458,,"https://g.sdlcdn.com/imgs/k/t/n/Makhanchor-Black-Cotton-Men-s-SDL916994517-1-9efc3.jpg, https://g.sdlcdn.com/imgs/k/t/n/Makhanchor-Black-Cotton-Men-s-SDL916994517-2-8410e.jpg",,"Makhanchor
Fabric:Cotton
Color:Black
Type:Unstitched Shirt Piece
Product Width (cm):145
Wash Care:Hand Wash
Size (m):1.6
Product length (cm):160
Gifting Option:Without Gift Box
Pattern:Striped
Season:Summer,Winter,Autumn,Spring
Style Code:classic4
Key Feature:Formal Cotton Shirt Fabric
Pack:Pack of 1
Pattern or Print Type:Vertical Striped
Secondary Color:Red
Shop By Occasion:Casual,Party,Work,Festive
Weave Type:Woven
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL916994517",,1
2026-06-01 12:25:02,Men's Clothing,(All),KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers,KUNDAN,Rs. 520,"Rs. 1,199",57% Off,,0.0,0,0,Unspecified,In Stock,,https://www.snapdeal.com/product/kundan-suz-gwalior-multi-cotton/637059210409,,"https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-1-22ce7.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-2-36141.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-3-2fa05.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-4-38273.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-5-f4527.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-6-1a87c.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-7-03ac5.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-8-1e9f1.jpg, https://g.sdlcdn.com/imgs/i/2/e/KUNDAN-SUZ-GWALIOR-Multi-Cotton-SDL641189782-9-8c046.jpg",,"KUNDAN SULZ GWALIOR
Fabric:Cotton Blend
Color:Multi
Type:Unstitched Shirts & Trousers
Wear:Formals
Packs:Pack of 2
Product Width (cm):18
Wash Care:Normal Wash
Size (m):1.2
Product length (cm):23
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL641189782",,1
2026-06-01 12:25:07,Men's Clothing,(All),brand life Grey Cotton Blend Men's Unstitched Shirts & Trousers ( Pack of 1 ),brand,Rs. 635,Rs. 999,36% Off,(2),5.0,2,0,Male,In Stock,,https://www.snapdeal.com/product/brand-life-grey-cotton-blend/624596056533,,"https://g.sdlcdn.com/imgs/l/k/d/brand-life-Grey-Cotton-Blend-SDL126699402-1-9e3d1.jpg, https://g.sdlcdn.com/imgs/l/k/d/brand-life-Grey-Cotton-Blend-SDL126699402-2-32bde.jpg",,"brand life
Fabric:Cotton Blend
Color:Grey
Type:Unstitched Shirts & Trousers
Product Width (cm):25
Size (m):3.45
Product length (cm):1
Pattern:Printed
Season:Summer
Pack:Pack of 1
Pattern or Print Type:Abstract
Shop By Occasion:Casual
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL126699402",,1
2026-06-01 12:25:10,Men's Clothing,(All),Makhanchor White Linen Unstitched Shirt pc Single,Makhanchor,Rs. 512,Rs. 699,27% Off,(88),3.8,88,0,Unspecified,In Stock,,https://www.snapdeal.com/product/makhanchor-white-linen-unstitched-shirt/677633011984,,https://g.sdlcdn.com/imgs/j/l/i/Makhanchor-White-Linen-Unstitched-Shirt-SDL958952489-1-7f5d8.jpg,,"Makhanchor
Fabric:Linen
Color:White
Type:Unstitched Shirt pc
Wear:Formals
Product Width (cm):145
Wash Care:Cold Water Wash Only
Size (m):1.6
Product length (cm):160
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL958952489",,1
